#,Trope Name,Trope Details
11,Bad Samaritan,"Someone takes in the hero and seems (at first) to be helping, but they have ulterior motives."
12,Bad Santa,Santa Claus has either gone bad or has a villainous impostor or rival.
13,Band Episode,The characters form a band or a musical group.
14,Batman in my basement,A character hides out in someone's home. One resident has to keep the others from finding out.
15,Be careful what you wish for,Someone makes a wish and finds out the hard way that their desire has its downsides.
16,Appease the volcano god,"a group try to throw a character into a volcano to appease the volcano god.
"
17,Benched hero,A hero is temporarily removed to keep things interesting
18,Bizarro episode,
19,Body count competition,"Trope: Two warriors turn mass combat or dangerous missions into a contest over who can kill more enemies.
Context: Occurs during huge battles, infiltrations, or ambushes.
Participants: Often Blood Knights, mercenaries, rivals, or friends.
Tone: Ranges from playful banter to deadly rivalry, sometimes escalating into fighting each other.
Usage: Common in video/tabletop games as mini-games or side contests."
20,Body snatchery,"Trope: A character’s body is possessed by an outside intelligence.

Effect: Their mind or soul remains aware but powerless, leaving them a spectator.

Outcome: Others notice quickly that the character is Not Himself."
21,Freaky Friday Flip,"Trope: Characters swap bodies or minds through magic or sci-fi means, usually learning to appreciate each other’s lives.
Variations: Swaps across age, gender, class, or even hero/villain roles (sometimes causing sabotage or redemption). Superpowers and different physiques add confusion and comedy.
Related Tropes: Grand Theft Me (evil version), Personality Swap, Physical Attribute Swap, Mental Time Travel.
Purpose: Often comedic, sometimes moralistic — reinforcing “walk a mile in their shoes.”"
22,Grand Theft Me,The villain has a body but wants/needs a new one.  Yours.
23,Brainwashed and crazy,A character is brainwashed and sent to hurt or kill their friends
24,Break Out the Boss,Members of a villainous group orchestrate a plan to free their incarcerated leader from prison/exile etc
25,Bring Help Back,A group in distress sends one of their own to get help for them
26,Bring it back alive,"A character must capture a dangerous creature alive
"
27,Bring news back,The characters must get information to the right people (Death star plans to the rebels)
28,Broken pedestal,"A person who idolized someone they saw as a hero starts hating their hero after discovering them to not truly be the flawless paragon of virtue they thought they were.
"
29,The caper/heist,"Trope: A group of protagonists plans and executes an elaborate robbery — the classic heist or caper.
Tone: More action-driven than a con, often featuring a Gentleman Thief, someone fresh out of jail, or a crew reassembled for “one last job” (sometimes a ragtag comedy team).
Variations: May involve an Inside Job or be justified as Robin Hood-style theft.
Structure: Always pitched as A Simple Plan but derailed by unforeseen complications; a risky Plan B may exist as backup."
30,Cinderella plots,"Core Story: Cinderella, oppressed by her stepfamily, sneaks into a royal ball (via magic or ingenuity), wins the prince’s heart, flees at midnight leaving a token (often a glass slipper), and is later found by him, leading to marriage.
Variations: Father present or absent, fairy godmother or animal helpers, fantasy or modern settings, altered casts, or even tragic endings.
Flexibility: The recognizable beats (oppression, ball, flight, lost token, discovery) make it endlessly adaptable for retellings, twists, or parodies.
Effect: Even with major changes, as long as key elements remain, it’s still a Cinderella story."
31,City in a bottle,"Trope: A city or community sealed off from the outside world, often believing it is the last bastion of civilization.
Disruption: The illusion collapses when an outsider arrives or a resident leaves, often provoking violent cover-ups by those in power.
Genre: Common in dystopian or cynical sci-fi (e.g., Logan’s Run), where isolation is used for control.
Themes: Manipulation, paranoia, and control through lies about the outside world being uninhabitable.
Variations:
  Ruled by an Emperor Scientist with forced conformity.
  Outwardly utopian but inwardly oppressive (Crapsaccharine World).
  Outside world may be better (Green Aesop) or thriving without them (Cruel Twist Ending)."
32,the Con,"Trope: A confidence game (con) — a con artist deceives a victim (mark) with a story, props, and persuasion to steal money.
Types:
  Short con: Quick trick for small gains.
  Long con: Elaborate scheme over days/weeks, often involving a crew and huge payoff.
Key Roles:
  Roper: Finds and primes the victim.
  Shill: Pretends to be a third-party supporter to create urgency or credibility.
  Fake authority figures (e.g., police) may appear to discourage pursuit.
Nature: Relies on charm and manipulation rather than force, ranging from small scams to major story-driving plots."
33,Contract on the hitman,"Trope: A hitman becomes the target of their own organization, hunted by fellow assassins while uncovering who ordered the hit and why.
Causes:
  Wants to quit, but the syndicate won’t allow it.
  Refuses an immoral job (e.g., killing women/children, or falling for the mark).
  Employers see them as expendable, costly, or a liability.
  Revenge, jealousy, or personal gain.
  Most often: He Knows Too Much and must be silenced."
34,Crossing the desert,"Trope: The hero must cross a desert wasteland filled with dangers like scorpions, cacti, sandstorms, mirages, and giant sand creatures.
Patterns: Characters often travel at high noon (sometimes justified by worldbuilding), leading to heatstroke and hallucinations.
Variants: Can overlap with Thirsty Desert or Desert Warfare in wartime settings.
In Games: Desert levels (Shifting Sand Land) feature heat damage, disorientation, and repetitive visuals to heighten challenge."
35,Crouching Moron Hidden Badass,"Trope: A character who seems foolish, incompetent, or comic relief suddenly reveals overwhelming hidden power or skill when triggered.
Abilities: May unleash super strength, psychic powers, wild magic, combat mastery, or latent leadership, often shifting personality from goofy to deadly serious.
Reasons: Could be a kind-hearted idiot, a retired badass, someone with a power limiter, or simply unaware of their true potential.
Triggers: Usually a loved one in danger, impossible odds, a worthy cause, or rare bursts of anger.
Aftermath: They return to their goofy self, often unaware of what happened, leaving others stunned.
Arcs: Can grow into an Idiot Hero or Messiah, or decline into darker outcomes (Knight in Sour Armor, Emotionless Girl, Superpowered Evil Side)."
36,Cryptid episode,"Trope: Episodes featuring cryptids (unknown creatures like Bigfoot or Nessie), even in shows not normally about them.
Purpose: Highlights character dynamics by contrasting believers vs. skeptics.
Common Plots:
  Characters search but fail to find it (audience may learn it’s real).
  They find it and must hide, protect, or help it.
  Encounter it while traveling (often snowy/holiday settings).
  In Monster of the Week shows, it’s just the monster.
  In crime shows, a cryptid is blamed for a crime but revealed to be human—sometimes with a final twist showing the creature is real."
37,Cultural personality makeover,"Trope: A character discovers a connection to an unfamiliar culture through ancestry or family history.
Behavior: They obsessively embrace it — researching, adopting clothing, symbols, and stereotypical behaviors — often annoying friends or offending those from the culture.
Outcome: Usually ends with a Snap Back, as the character realizes they were losing their real identity, though they may keep subtle traces of the culture.
Purpose: Explores cultural identity and the pitfalls of superficial or stereotypical adoption."
38,Cutting the knot,"Solving or bypassing a puzzle with brute force
"
39,Danger with a deadline,"Trope: A threat is dangerous but only for a limited time — the heroes must survive or stall until the deadline passes.=
Contrast: Unlike a Race Against the Clock where heroes rush to finish, here the enemy is the one running out of time, fuel, or power.
Uses:
  Exploited by heroes to outlast stronger foes.
  Played for laughs if the enemy runs out of time awkwardly.
  Creates suspense with last-second failures.
Mediums: Common across stories, especially in comedies and video games, where it adds strategy or unique challenges."
40,Race against the clock,"Trope: The villain’s plan is time-sensitive, and the hero must stop it before a set deadline (bomb, ritual, celestial event, ultimatum, etc.).
Structure: Always comes down to the wire, with the hero foiling the scheme at the last possible second — often aided by a Magic Countdown or Real Time pacing.
Variants:
  Villain must complete steps (e.g., collect Plot Coupons, kill victims); the hero only prevents the final one.
  Time itself hinders the hero via unlucky coincidences (Finagle’s Law).
Effect: A staple way to heighten tension, often forming the dramatic finale."
41,Where the planets align,"Trope: A pivotal event hinges on a rare astronomical alignment (syzygy) of stars or planets.
Consequences: Often tied to apocalyptic predictions — world-ending disasters, cosmic shifts, or unleashing an Eldritch Abomination.
Variations:
  May overlap with a Significant Birth Date, creating a Chosen One or empowering the Big Bad.
  Can occur in the backstory but still drive present conflict."
42,Eldritch abomination,"Trope: Eldritch Abominations are incomprehensible beings that defy natural laws, reality, and human understanding.
Effects: Witnessing them causes madness, terror, or reality distortion. Their motives and rules are unknowable.
Origins: Core to cosmic horror (Lovecraft, Chambers, Howard); often portrayed as Mad Gods, Outside-Context Problems, or sealed cosmic threats.
Appearance: Ranges from humanoid to bizarrely alien; often tentacled, organ-like, or celestial in form, but always disturbingly “wrong.”
Power: Varies from killable by special means to beyond gods; usually only banished, sealed, or faced in weakened avatars.
Notes: More than just “weird monsters”—they must break the story’s internal logic to count. Related tropes include Cosmic Entities, Old Gods, Humans Are Cthulhu, and Brown Note Being."
43,The Old Gods,"Trope: Old Gods are primordial beings older and greater than the familiar gods, often not needing prayer or human devotion.
Nature: Commonly depicted as Anthropomorphic Personifications or Eldritch Abominations, overlapping with Precursors.
Portrayal: Sometimes reinterpreted as demons in newer religions, or described as Titans.
Themes: Embody the idea that Older Is Better, though some may be equal or weaker than later gods.
Variants: Their absence is often explained through the Death of the Old Gods."
44,Death of the old gods,"Trope: The gods are fading or dying, replaced by new deities, a single dominant god, or no gods at all.
Causes: Loss of worshippers’ belief, divine disinterest, or being defeated/killed by successors.
Tone: Often sympathetic to the old gods, but framed as inevitable change — unless they adapt (Modernized God).
Variants:
  Titanomachy — elder pantheon replaced by younger gods.
  Monotheism rise — pagan gods supplanted by a single deity.
  No gods — divine order gives way to absence.
Contrast: Götterdämmerung depicts gods ending dramatically rather than fading quietly."
45,Precursors,"Trope: Precursors (a.k.a. Ancients, Elders, Old Ones) — an ancient, vanished race whose culture and technology/magic shaped the modern world.
Role:
  In sci-fi: first species with godlike tech, creators of other races, leave ruins and incomprehensible relics.
  In fantasy: forerunners made by gods, mighty in magic and deeds.
Fate: Their disappearance is mysterious — ascension, decadence, disaster, war, or migration.
Impact: Left behind artifacts, Big Dumb Objects, MacGuffins, and sometimes ongoing hidden plans (Powers That Be).
Variants:
  Humans as Precursors (Advanced Ancient Humans).
  Abusive, Neglectful, Benevolent, or Recursive Precursors.
  Rediscovery often dangerous, shattering their mystique.
  Their tech may seem primitive but is incredibly powerful (Low Culture, High Tech).
  Legacy sparks Archaeological Arms Races.
Function: Often explain why aliens look alike (Rubber-Forehead Aliens)."
46,Sealed Evil in a Can,"Trope: Sealed Evil in a Can — an ancient, powerful villain once imprisoned escapes (or is released), explaining why they hadn’t acted until now.
Roles: Often a Greater-Scope Villain behind the current Big Bad, who seeks to release it but is betrayed once it’s free. Heroes may also accidentally unleash it.
Release: Commonly after 1,000 years, often via villains, ignorant explorers, or mining Too Deep.
Why Sealed, Not Killed: Couldn’t be destroyed, balance of good/evil required, mercy shown, or conditions weren’t right for permanent defeat.
Effects: Its awakening brings disasters (World-Wrecking Wave, Walking Wasteland) though it may be weakened after centuries. Heroes may have a chance to reseal or destroy it.
Usage: A staple in RPGs — the escaped evil becomes the Final Boss, typically causing the Darkest Hour before its defeat."
47,You can't thwart stage one!,"Trope: The villain’s Evil Plan always reaches its final stage, no matter the heroes’ efforts, setting up a last, high-stakes showdown.
Pattern: Heroes may score minor wins (defeating lieutenants, delaying steps), but the core plan succeeds until the eleventh hour.
Outcome: Villain comes within inches of victory; heroes stop them only at the climax.
Effect: Ensures maximum drama — early hero attempts fail or are undone (Yank the Dog’s Chain), justified by Finagle’s Law and the Rule of Drama.
Related Tropes: You Are Too Late, Hostage for MacGuffin, MacGuffin Delivery Service, Xanatos Gambit, Team Rocket Wins."
48,Darkest Hour,"Trope: The Darkest Hour — when everything goes wrong and hope seems lost.
Examples: Villain triumphs, allies turn, mentor dies, team collapses, or personal losses stack up with no time to recover.
Purpose: Tests the hero’s true character (What You Are in the Dark), often tied to the “death” stage of the Hero’s Journey.
Resolution:
  Followed by a comeback (Big Damn Heroes),
  A Hope Spot that leads to a bittersweet/downer ending,
  Or ultimate triumph after despair.
Connections: Related to Near-Villain Victory, Symbolic Hero Rebirth, and the narrative setup for a Day of Reckoning climax."
49,Just in time,"Trope: At the heroes’ lowest moment, when defeat seems certain, a last-minute savior arrives.
Forms:
  The main hero reappears dramatically to block the killing blow (“Sorry I’m late”).
  Or the hero is saved by the Cavalry, a group of allies who arrive just in time."
50,It has been an honour,"Trope: The doomed or honorable character tells an ally, “It has been an honor to fight beside you”, often before a Heroic Sacrifice or last stand.
Tone: Simple, heartfelt, and frequently answered in kind — sometimes directed at a Worthy Opponent.
Variations: Can be implied through gestures (handshake, salute), OOC seriousness, or gallows humor.
Effects: Highlights loyalty, camaraderie, or Fire-Forged Friendship, often provoking Manly Tears — though occasionally subverted by the timely arrival of The Cavalry."
51,The cavalry,"Trope: When heroes face certain defeat, the Cavalry arrives at the last moment to turn the tide and save them.
Forms: Could be allies, locals, or presumed-dead characters charging in to rescue the heroes and snatch victory.
Effect: Can feel like Deus ex Machina if unearned, but works well if foreshadowed or tied to the heroes’ desperate stand.
Purpose: Converts a looming Downer Ending into triumph, reminding both heroes and audience that they’re not alone."
52,Gondor Calls for Aid,"Trope: The heroes lack the manpower to execute their plan, so they call on reluctant or unlikely allies for aid.
Effect: Symbolizes ultimate community spirit; often includes past allies returning as a Continuity Nod.
Origin: Named after Gondor summoning Rohan in The Lord of the Rings.
Variants:
  Bring Help Back — the act of securing help is its own quest.
  Enemy Mine — forced alliance with foes.
  Awakening the Sleeping Giant — calling on overwhelming power.
  Epic Hail — drama in the act of summoning help.
Related Tropes: Smaller-scale versions (Big Damn Heroes, Gunship Rescue), or twists like Cavalry Refusal and later Changed My Mind, Kid."
53,Epic Hail,"Trope: Epic Hail — a dramatic signal sent to a powerful ally to request aid or warn of danger, often under desperate circumstances.
Tension: Usually involves last-minute obstacles with the messenger or device.
Timing: Common before a final battle or apocalyptic event; may reveal betrayal if the ally is untrustworthy.
Variants: Villains may use it to summon armies.
Connections: Related to Gondor Calls for Aid, often leads to The Cavalry arriving, or concludes a Bring News Back plot."
54,Binding Ancient Treaty,"Trope: Binding Ancient Treaty — a long-forgotten alliance or pact is suddenly invoked, forcing a nation to honor its word despite the risks.
Setup: Treaties made generations ago are called upon when allies face invasion or crisis, even if the relationship has since faded.
Compulsion: May be upheld by honor, law, diplomacy, or even magic. Breaking it risks dishonor, political fallout, or supernatural penalties.
Effect: Creates dramatic conflict between survival and obligation, often dragging the reluctant party into war."
55,Dug too deep,"Trope: Dug Too Deep — attempts to mine or exploit resources accidentally release a sealed ancient evil or monster.
Origins: Classic in The Lord of the Rings; often involves dwarves and underground settings.
Symbolism: Tied to the idea of the underworld/hell as prisons for cosmic horrors.
Variants: Can occur through drilling glaciers (Monster in the Ice) or similar excavations.
Consequences: Leads to abandoned mines or disasters; overlaps with Unwitting Instigator of Doom."
56,Leaking can of evil,"Trope: An ancient evil is sealed away, but its power still leaks into the world, causing destruction or corruption.
Nature:
  In myth/religion: the evil is sealed but unaware of its lingering influence.
  In fiction/horror: the evil is aware and actively manipulates events to hasten its release.
Effect: Creates ongoing threats despite the being itself remaining imprisoned."
57,King in the mountain,"Trope: King in the Mountain — a legendary hero or ruler isn’t dead but sleeps in a hidden place (often under a mountain), awaiting their nation’s darkest hour.
Role: Returns as a Big Damn Hero when most needed, sometimes tied to apocalyptic prophecy or national survival.
Usage: Usually hinted at rather than fully played out; the hero remains asleep as a looming presence.
Related Tropes: Awakening the Sleeping Giant, Sealed Good/Badass in a Can, Sealed Evil in a Can, and Rip Van Winkle-style motifs."
58,Sealed good in a can,"Trope: Sealed Good in a Can — a benevolent, powerful being is imprisoned and released to aid heroes against great evil.
Reward: Usually helps or protects those who free it, often becoming the key to defeating darkness.
Complications: Sometimes their release also unleashes the evil they were containing (Sealed Evil in a Duel).
Flavors:
  Sealed by allies — preserved for a future threat.
  Sealed by enemies — captured and sealed by evil forces, often overlapping with Badass in Distress."
59,Death takes a holiday,"Trope: Death Takes a Holiday — Death stops working (quits, is captured, or dies), and people no longer die properly.
Consequences: What first seems like a blessing turns grim: endless suffering for the mortally wounded, overpopulation, immortality abuse, or reality destabilization.
Resolutions
  Heroes free or restore Death.
  If they caused it, they learn The Problem with Fighting Death.
  Sometimes death continues but souls are blocked, leading to ghosts, undead, or limbo.
Variant: Another character may temporarily replace the Grim Reaper (Relieving the Reaper)."
60,Defector from commie land,"Trope: Defector from Commie Land — during the Cold War, a character seeks to escape to the West with the heroes’ help.
Complications:
  May need to evade secret police or cross the Iron Curtain.
  Families often left behind as hostages, creating extra stakes.
Twists: Defector could be a Fake Defector or Renegade Russian.
Motives/Rewards: Often bring valuable intel or tech — documents, codes, military hardware, or identities of spies (The Mole)."
61,Die Hard,"Trope: Die Hard Scenario — villains seize a confined location with hostages, unaware a hidden hero is inside.
Elements: Hero must secretly take them down, often crawling through vents, with personal stakes (a family member hostage).
Tension: At least one hostage usually dies during negotiations, raising the stakes further."
62,Don't go into the woods,"Trope: Woods Are Scary — venturing deep into the forest leads to horror, danger, and death.
Threats: Can include killers, monsters, cursed woods, hostile fae, or even the trees themselves. Strange noises, bones, and disappearances heighten dread.
Tone: Usually bleak — most characters die, sometimes leaving only a Final Girl.
Variants: In rescue-focused stories, the woods serve as a hostile backdrop for survival and search efforts."
63,Enchanted Forest,"Trope: Enchanted Forest — vast, ancient, shadowy, and untamed woods where nature dominates and humanity doesn’t belong.
Features: Towering trees, fog, brambles, shifting paths (The Maze), magical groves, standing stones, temples, or Places of Power.
Inhabitants: Fair Folk, witches, hermits, survivalists, unicorns, wolves, giant spiders, or outlaw bands.
Tone: Not always hostile, but always wild, mysterious, and potentially supernatural — paths may move, landmarks shift, and danger lurks in every shadow.
Origins: Rooted in humanity’s fear of wilderness as chaotic, uncontrolled, and spirit-haunted, often a last remnant of primordial nature."
64,Doorstop baby,"Trope: Doorstep Baby — parents (often cloaked, in the rain) leave a baby in a basket at someone’s doorstep with a note or trinket.
Adoption: The household always takes the child in willingly, raising them as their own instead of alerting authorities.
Narrative Use: Sets up the child as a future main character, with a cut to years later.
Clarification: Not to be confused with “baby as a literal doorstop” or Doorstopper (long book)."
65,The Dragons Return,"Trope: Dragons Returning — once-gone dragons (or equivalent apex mythical beasts) reappear, disrupting the world’s balance.
Variants:
  Dragons wage war to reclaim territory.
  Factions split between welcoming or resisting their return.
  Non-sentient dragons are exploited for conquest.
  Benevolent dragons intervene in crisis.
  Their return signals greater calamities to come.
Notes: Can apply to similar apex species (gryphons, etc.); contrasts with Last of His Kind. Linked to The Magic Comes Back and Not So Extinct."
66,The Godzilla Threshold,"Trope: Godzilla Threshold — when a crisis becomes so dire that any option, no matter how reckless, destructive, or horrific, becomes justified.
Examples: Deploying doomsday weapons, forbidden techniques, unleashing monsters, or relying on incompetent misfits as a last resort.
Purpose: Shows the situation is truly desperate, legitimizing extreme measures to the audience.
Risks: Poorly handled if caused by hero mistakes (Idiot Ball), or if the solution causes worse fallout (Pyrrhic Victory, Won the War, Lost the Peace).
Variations: Some stories focus on preventing the threshold from being crossed by restraining those eager to use the failsafe too soon."
67,"""No more holding back"" speech","Trope: World of Cardboard Speech / No More Holding Back Speech — the hero overcomes an emotional or psychological block through an epiphany, voiced in a dramatic speech.
Structure: Hero struggles internally → has a revelation → gives speech → unleashes full potential (The Gloves Come Off).
Forms:
  I Am What I Am — self-acceptance against villain taunts.
  Summation — explaining revelation after the climax.
  Reason You Suck retort or Shut Up, Hannibal!
  Accepting their power (Does Not Know His Own Strength) or destiny (Coming of Age).
  Finding something worth living or dying for.
Purpose: Provides character development, reveals moral themes, and fuels Heroic Resolve leading to a breakthrough moment."
68,Nuclear option,"Trope: The Nuclear Option — the justified, last-resort use of nuclear weapons by a legitimate authority.
When Used:
  Enemy has already launched nukes.
  Target is nearly invulnerable, and a nuke is the only solution.
  Situation is dire enough that collateral damage no longer matters.
Portrayal: Unlike Nuke ’em or Deus ex Nukina, it’s not overkill or foolish — the nuke serves a clear, rational purpose.
Variants: Can apply in space battles (Explosions in Space)."
69,Driving Question,"Trope: Driving Question — a central mystery propels the plot.
Forms: Classic whodunnit, Jigsaw Puzzle Plots, survival horror, or broader ontological mysteries (“What is going on and why?”).
Purpose: Keeps audience engaged by making the search for answers the story’s core engine."
70,The Reveal,"Trope: The Reveal — withheld information is disclosed, dramatically shifting the plot.
Uses: Unmasks hidden identities, exposes manipulations, answers mysteries, or sparks romance. Often moves suspense into action.
Functions: Creates new questions, heightens cliffhangers, and resolves Driving Questions. Essential in mysteries, Jigsaw Puzzle Plots, and Myth Arcs.
Variants:
  Un-Reveal (withheld), Un-Twist/Captain Obvious Reveal (too obvious), Ass Pull (out of nowhere), Dog Was the Mastermind (unexpected culprit).
  First-Episode Twist if it happens at the start; Namesake if tied to the title."
71,Duels solve everything,A character and their rival agree to settle the conflict with a dual.  Rivalry has already been set up.
72,Empire with a dark secret,"Trope: Civilization Built on Lies — society thrives on a hidden, terrible truth (e.g., exploitation, dark magic, or moral atrocity).
Revelation: Exposing the secret may collapse civilization, spark rebellion, or drive people insane.
Theme: A utopia sustained by unethical means (Utopia Justifies the Means), with strong caution against uncovering the truth."
73,Emergency impersonation,"Trope: Impersonating the Missing — when an important figure is absent (kidnapped, ill, dead, or double-booked), someone else must impersonate them during a critical event.
Complications: The stand-in often lacks preparation, leading to comedic blunders or life-threatening risks.
Resolution: The real person eventually returns (if alive), often gaining new perspective or learning an Aesop from the experience.
Alternative:  Weekend at Bernies -  make it seem like they are still alive"
74,Empty quiver,"Trope: Empty Quiver — a weapon of mass destruction (usually a nuke) is stolen or seized, triggering a race to recover it before disaster.
Scope: Includes both deliberate theft and accidental loss (the latter officially termed Broken Arrow).
Theme: High-stakes tension built around the catastrophic potential of nuclear weapons falling into the wrong hands."
75,End of an age,"Trope: End of an Age — the loss of a past era of wonder, innocence, or greatness, leaving the present world smaller, less mysterious, and tinged with sorrow.
Causes: Growing up, lost frontiers, decline of magic (The Magic Goes Away), lost technology, death of old gods, cultural decay, or revolutionary change.
Narrative Uses:
  Adventurer Archaeologist quests to recover relics.
  Coming of Age stories where childhood adventure gives way to adult loss.
  Destruction of relics or wonders to keep them from misuse.
Tone: Often tragic or bittersweet, emphasizing nostalgia and irreversible change.
Related Tropes: Opposite of Dawn of an Era; overlaps with Here There Were Dragons, Lost Technology, After the End, and Twilight of… stories."
76,Here there were dragons,"Trope: Here There Were Dragons — the past was an age of magic, wonder, and monsters, now lost in the mundane present.
Nature: Unlike hidden or disguised magic, this is magic that has truly disappeared.
Tone: Nostalgic and wistful, though it leaves open the possibility of magic or dragons returning someday."
77,Myth prologue,"Trope: A story opens with a mythical tale — creation myth, great war, divine beings, or lost magic — that sets the stage and foreshadows later events.
Structure: After the myth, the story jumps to the present day, often showing how the world has since changed (wars prolonged, magic vanished, civilization declined).
Purpose: Provides exposition, establishes tone and scope, and signals the myth’s eventual importance.
Forms of the Trope (with examples)
  Distant Prologue
    A cinematic or narrated flashback to ancient events.
    Example: The Lord of the Rings: The Fellowship of the Ring — Galadriel narrates the forging of the Rings and Sauron’s defeat.
  Opening Monologue
    A spoken introduction that summarizes the myth succinctly, often during titles.
    Example: Conan the Barbarian (1982) — Mako’s narrator voice recounts Crom, the gods, and Conan’s people.
  Opening Narration
    A broader voiceover setting up the world’s state, often including mythic backstory.
    Example: The Dark Crystal (1982) — narration explains the Crystal’s shattering and the rise of Skeksis and Mystics.
  Storybook Opening
    An illustrated book is opened, with the myth read aloud and often animated into the narrative.
    Example: Disney’s Sleeping Beauty — begins with a storybook recounting Aurora’s christening and Maleficent’s curse.
  Framing Device (In-Universe Narrator)
    A character within the world tells the myth as a tale or record.
    Example: The NeverEnding Story (1984) — the story is framed by Bastian reading about Fantasia, with myths and legends woven in."
78,Escape from the crazy place,"Trope: Escape from the Crazy Place — a protagonist is trapped in a sealed-off environment that has descended into chaos and horror, and must find a way out.
Settings: Asylums overrun by inmates, hospitals plagued, spaceships with parasites, underground cities gone mad.
Dynamics: Protagonist is often the Only Sane Man; survivors may appear but rarely last (or remain sane). Survival may involve depravity or cannibalism.
Risks: Escape often carries the danger of unleashing the madness on the outside world.
Tone: Usually horror, but can also be played darkly for comedy."
